Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Local matrix size       = 184.844 GiBs
Total device memory use = 189.112 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 13.8% | 000061440 |    0.4585204  | 5.517e+04| 5.838e+04| 5.903e+04|  4.823e-02 |  5.963e-03 |  1.458e-02 | 2.489e-02 |   3.671e-01  |  4.123e+05  |    4.355e+05   
 13.9% | 000062080 |    0.4149360  |          | 5.837e+04| 5.902e+04|            |            |  1.490e-02 | 4.276e-02 |   3.567e-01  |  4.541e+05  |    4.357e+05   
 14.1% | 000062720 |    0.4528380  | 5.516e+04| 5.880e+04| 5.900e+04|  4.831e-02 |  1.255e-02 |  1.443e-02 | 2.787e-02 |   3.585e-01  |  4.147e+05  |    4.355e+05   
 14.2% | 000063360 |    0.4169882  |          | 5.832e+04| 5.897e+04|            |            |  1.488e-02 | 5.840e-02 |   3.432e-01  |  4.489e+05  |    4.356e+05   
 14.4% | 000064000 |    0.4526702  | 5.531e+04| 5.860e+04| 5.902e+04|  4.819e-02 |  5.933e-03 |  1.438e-02 | 2.571e-02 |   3.606e-01  |  4.121e+05  |    4.354e+05   
 14.5% | 000064640 |    0.4080827  |          | 5.858e+04| 5.903e+04|            |            |  1.482e-02 | 4.110e-02 |   3.517e-01  |  4.556e+05  |    4.355e+05   
 14.7% | 000065280 |    0.4479613  | 5.497e+04| 5.867e+04| 5.900e+04|  4.844e-02 |  1.296e-02 |  1.439e-02 | 2.629e-02 |   3.551e-01  |  4.136e+05  |    4.353e+05   
 14.8% | 000065920 |    0.4107971  |          | 5.846e+04| 5.898e+04|            |            |  1.476e-02 | 5.498e-02 |   3.406e-01  |  4.496e+05  |    4.355e+05   
 14.9% | 000066560 |    0.4468777  | 5.455e+04| 5.866e+04| 5.905e+04|  4.792e-02 |  5.890e-03 |  1.430e-02 | 2.366e-02 |   3.571e-01  |  4.119e+05  |    4.352e+05   
 15.1% | 000067200 |    0.4029974  |          | 5.864e+04| 5.902e+04|            |            |  1.469e-02 | 4.110e-02 |   3.467e-01  |  4.552e+05  |    4.354e+05   
 15.2% | 000067840 |    0.4427110  | 5.473e+04| 5.856e+04| 5.899e+04|  4.790e-02 |  1.282e-02 |  1.423e-02 | 2.573e-02 |   3.511e-01  |  4.129e+05  |    4.352e+05   
 15.4% | 000068480 |    0.4038978  |          | 5.836e+04| 5.900e+04|            |            |  1.459e-02 | 5.083e-02 |   3.380e-01  |  4.511e+05  |    4.353e+05   
 15.5% | 000069120 |    0.4423959  | 5.488e+04| 5.848e+04| 5.903e+04|  4.818e-02 |  5.725e-03 |  1.421e-02 | 2.348e-02 |   3.528e-01  |  4.104e+05  |    4.351e+05   
 15.7% | 000069760 |    0.3975529  |          | 5.855e+04| 5.903e+04|            |            |  1.459e-02 | 4.024e-02 |   3.422e-01  |  4.552e+05  |    4.353e+05   
 15.8% | 000070400 |    0.4372938  | 5.570e+04| 5.859e+04| 5.900e+04|  4.823e-02 |  1.356e-02 |  1.410e-02 | 2.527e-02 |   3.460e-01  |  4.124e+05  |    4.351e+05   
 15.9% | 000071040 |    0.3993018  |          | 5.843e+04| 5.895e+04|            |            |  1.406e-02 | 5.181e-02 |   3.330e-01  |  4.501e+05  |    4.352e+05   
 16.1% | 000071680 |    0.4359966  | 5.574e+04| 5.866e+04| 5.901e+04|  4.738e-02 |  6.093e-03 |  1.409e-02 | 2.321e-02 |   3.476e-01  |  4.108e+05  |    4.350e+05   
 16.2% | 000072320 |    0.3919680  |          | 5.851e+04| 5.904e+04|            |            |  1.455e-02 | 3.893e-02 |   3.380e-01  |  4.554e+05  |    4.352e+05   
 16.4% | 000072960 |    0.4314186  | 5.724e+04| 5.861e+04| 5.899e+04|  4.742e-02 |  1.250e-02 |  1.411e-02 | 2.481e-02 |   3.414e-01  |  4.123e+05  |    4.350e+05   
