Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Local matrix size       = 11.6956 GiBs
Total device memory use = 12.7791 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 50.6% | 000056320 |    0.0323854  | 4.189e+04| 5.402e+04| 7.146e+04|  2.074e-02 |  6.197e-03 |  2.068e-03 | 3.730e-03 |   3.216e-03  |  1.211e+05  |    2.151e+05   
 51.1% | 000056960 |    0.0267154  |          | 7.073e+04| 4.943e+04|            |            |  2.072e-02 | 3.322e-03 |   2.195e-03  |  1.435e+05  |    2.146e+05   
 51.7% | 000057600 |    0.0303422  | 4.565e+04| 5.423e+04| 7.826e+04|  1.983e-02 |  6.603e-03 |  1.978e-03 | 3.846e-03 |   2.101e-03  |  1.234e+05  |    2.138e+05   
 52.3% | 000058240 |    0.0262803  |          | 6.963e+04| 6.567e+04|            |            |  2.073e-02 | 4.050e-03 |   1.068e-03  |  1.391e+05  |    2.133e+05   
 52.9% | 000058880 |    0.0312306  | 4.781e+04| 5.026e+04| 7.154e+04|  2.016e-02 |  6.178e-03 |  1.969e-03 | 3.575e-03 |   3.071e-03  |  1.143e+05  |    2.125e+05   
 53.4% | 000059520 |    0.0247539  |          | 7.107e+04| 4.900e+04|            |            |  1.947e-02 | 3.211e-03 |   1.618e-03  |  1.407e+05  |    2.121e+05   
 54.0% | 000060160 |    0.0295468  | 4.557e+04| 5.343e+04| 7.565e+04|  1.942e-02 |  6.355e-03 |  1.880e-03 | 3.923e-03 |   1.698e-03  |  1.150e+05  |    2.113e+05   
 54.6% | 000060800 |    0.0247022  |          | 6.938e+04| 5.905e+04|            |            |  2.017e-02 | 3.301e-03 |   8.078e-04  |  1.341e+05  |    2.109e+05   
 55.2% | 000061440 |    0.0302080  | 4.412e+04| 5.420e+04| 7.265e+04|  1.989e-02 |  6.191e-03 |  1.917e-03 | 3.207e-03 |   2.395e-03  |  1.070e+05  |    2.101e+05   
 55.7% | 000062080 |    0.0243048  |          | 7.034e+04| 4.512e+04|            |            |  1.954e-02 | 3.072e-03 |   1.238e-03  |  1.296e+05  |    2.096e+05   
 56.3% | 000062720 |    0.0286466  | 4.509e+04| 5.360e+04| 7.618e+04|  1.915e-02 |  6.428e-03 |  1.798e-03 | 3.484e-03 |   1.561e-03  |  1.071e+05  |    2.089e+05   
 56.9% | 000063360 |    0.0236494  |          | 7.019e+04| 5.827e+04|            |            |  1.974e-02 | 3.146e-03 |   3.298e-04  |  1.264e+05  |    2.084e+05   
 57.5% | 000064000 |    0.0293896  | 3.949e+04| 4.950e+04| 7.874e+04|  1.978e-02 |  6.300e-03 |  1.803e-03 | 3.109e-03 |   2.154e-03  |  9.901e+04  |    2.076e+05   
 58.0% | 000064640 |    0.0227790  |          | 7.130e+04| 5.763e+04|            |            |  1.914e-02 | 3.173e-03 |   2.135e-05  |  1.243e+05  |    2.071e+05   
 58.6% | 000065280 |    0.0282220  | 4.644e+04| 5.940e+04| 6.647e+04|  1.908e-02 |  6.393e-03 |  1.712e-03 | 4.098e-03 |   1.110e-03  |  9.765e+04  |    2.064e+05   
 59.2% | 000065920 |    0.0222977  |          | 7.326e+04| 5.727e+04|            |            |  1.898e-02 | 2.865e-03 |   1.901e-05  |  1.202e+05  |    2.059e+05   
 59.8% | 000066560 |    0.0287405  | 3.645e+04| 5.334e+04| 6.690e+04|  1.960e-02 |  6.215e-03 |  1.706e-03 | 2.882e-03 |   1.837e-03  |  9.067e+04  |    2.051e+05   
 60.3% | 000067200 |    0.0216818  |          | 7.228e+04| 5.650e+04|            |            |  1.839e-02 | 2.808e-03 |   2.101e-05  |  1.168e+05  |    2.047e+05   
 60.9% | 000067840 |    0.0280775  | 5.611e+04| 5.006e+04| 6.383e+04|  1.961e-02 |  7.309e-03 |  1.622e-03 | 2.851e-03 |   1.839e-03  |  8.762e+04  |    2.039e+05   
 61.5% | 000068480 |    0.0213817  |          | 7.001e+04| 5.607e+04|            |            |  1.825e-02 | 2.691e-03 |   2.210e-05  |  1.117e+05  |    2.034e+05   
 62.1% | 000069120 |    0.0276600  | 5.589e+04| 5.323e+04| 6.227e+04|  1.935e-02 |  6.358e-03 |  1.621e-03 | 2.721e-03 |   1.786e-03  |  8.382e+04  |    2.027e+05   
 62.6% | 000069760 |    0.0214229  |          | 7.178e+04| 5.504e+04|            |            |  1.798e-02 | 2.966e-03 |   2.224e-05  |  1.050e+05  |    2.022e+05   
 63.2% | 000070400 |    0.0275829  | 5.497e+04| 5.883e+04| 5.820e+04|  1.886e-02 |  6.632e-03 |  1.539e-03 | 3.930e-03 |   1.119e-03  |  7.908e+04  |    2.014e+05   
 63.8% | 000071040 |    0.0206651  |          | 6.232e+04| 5.609e+04|            |            |  1.744e-02 | 2.686e-03 |   9.189e-05  |  1.023e+05  |    2.009e+05   
 64.4% | 000071680 |    0.0267632  | 4.949e+04| 5.958e+04| 5.149e+04|  1.916e-02 |  6.285e-03 |  1.537e-03 | 2.641e-03 |   1.508e-03  |  7.652e+04  |    2.002e+05   
 64.9% | 000072320 |    0.0210592  |          | 6.693e+04| 5.351e+04|            |            |  1.786e-02 | 2.709e-03 |   2.207e-05  |  9.416e+04  |    1.997e+05   
 65.5% | 000072960 |    0.0261886  | 4.517e+04| 5.959e+04| 4.761e+04|  1.868e-02 |  6.419e-03 |  1.452e-03 | 2.847e-03 |   1.138e-03  |  7.328e+04  |    1.989e+05   
